Time,phase,Mag
2459630.7541782,0.00000,-0.556578
2459630.926412,0.00206,-0.548361
2459630.7552662,0.00633,-0.559693
2459630.9275579,0.00873,-0.582526
2459630.7564468,0.01320,-0.587911
2459630.9287037,0.01539,-0.548016
2459630.7575463,0.01960,-0.555558
2459630.9298495,0.02206,-0.553639
2459630.7586227,0.02586,-0.57918
2459630.9309954,0.02872,-0.539377
2459630.7597106,0.03219,-0.552465
2459630.9321528,0.03546,-0.543608
2459630.7608565,0.03885,-0.553143
2459630.9333218,0.04226,-0.558337
2459630.7619676,0.04532,-0.564963
2459630.9345718,0.04953,-0.523429
2459630.7630093,0.05138,-0.518657
2459630.9356134,0.05559,-0.558196
2459630.7641435,0.05798,-0.517617
2459630.9367593,0.06226,-0.517013
2459630.7652315,0.06431,-0.500608
2459630.9379051,0.06893,-0.518053
2459630.7663079,0.07057,-0.517997
2459630.9390509,0.07559,-0.519761
2459630.7673495,0.07663,-0.500351
2459630.9400926,0.08165,-0.528043
2459630.7684259,0.08289,-0.497598
2459630.9412384,0.08832,-0.496125
2459630.7696065,0.08976,-0.496492
2459630.9424884,0.09559,-0.51362
2459630.7707176,0.09623,-0.498938
2459630.7718287,0.10269,-0.525437
2459630.9447801,0.10892,-0.456075
2459630.7729745,0.10936,-0.488996
2459630.7740972,0.11589,-0.48753
2459630.9460301,0.11620,-0.529563
2459630.7753125,0.12296,-0.494007
2459630.9472222,0.12313,-0.46481
2459630.776412,0.12936,-0.499921
2459630.9485417,0.13081,-0.530872
2459630.7775347,0.13589,-0.473444
2459630.9496875,0.13748,-0.417578
2459630.7786458,0.14235,-0.494002
2459630.9508333,0.14414,-0.489935
2459630.7797801,0.14895,-0.481081
2459630.9519792,0.15081,-0.473664
2459630.7808218,0.15501,-0.480817
2459630.9532407,0.15815,-0.518188
2459630.7819792,0.16175,-0.468623
2459630.954375,0.16475,-0.435576
2459630.7831713,0.16868,-0.46988
2459630.9555208,0.17141,-0.473173
2459630.7843403,0.17548,-0.451455
2459630.9566782,0.17815,-0.415176
2459630.785544,0.18249,-0.479132
2459630.9579167,0.18535,-0.468042
2459630.7866667,0.18902,-0.462401
2459630.9590625,0.19202,-0.411533
2459630.9603125,0.19929,-0.447431
2459630.7891551,0.20350,-0.451634
2459630.9615741,0.20663,-0.482881
2459630.790162,0.20935,-0.450309
2459630.9626042,0.21263,-0.492762
2459630.7911574,0.21515,-0.462745
2459630.9638657,0.21996,-0.485458
2459630.7920949,0.22060,-0.450608
2459630.7930324,0.22605,-0.474671
2459630.7940856,0.23218,-0.473246
2459630.7950926,0.23804,-0.488173
2459630.7960648,0.24370,-0.473264
2459630.9682523,0.24549,-0.499607
2459630.7971065,0.24976,-0.476264
2459630.9695255,0.25289,-0.496632
2459630.7981019,0.25555,-0.4756
2459630.9706713,0.25956,-0.489357
2459630.7991088,0.26141,-0.481464
2459630.9718171,0.26623,-0.504279
2459630.8000926,0.26713,-0.480692
2459630.972963,0.27289,-0.488995
2459630.8011921,0.27353,-0.487967
2459630.8022106,0.27945,-0.487102
2459630.974213,0.28017,-0.475968
2459630.803287,0.28572,-0.484162
2459630.9752894,0.28643,-0.504255
2459630.8042477,0.29130,-0.51687
2459630.9765394,0.29370,-0.50401
2459630.8053935,0.29797,-0.506862
2459630.9777894,0.30097,-0.489615
2459630.8064005,0.30383,-0.504534
2459630.9790394,0.30825,-0.500668
2459630.807419,0.30976,-0.494595
2459630.9803241,0.31572,-0.516708
2459630.8085301,0.31622,-0.513472
2459630.8096412,0.32268,-0.509746
2459630.9815741,0.32299,-0.506642
2459630.8106481,0.32854,-0.518529
2459630.9828241,0.33026,-0.503118
2459630.8116898,0.33460,-0.513978
2459630.9841088,0.33774,-0.483261
2459630.8126968,0.34046,-0.537221
2459630.9853588,0.34501,-0.533718
2459630.8137037,0.34632,-0.533393
2459630.9865046,0.35168,-0.532483
2459630.8146991,0.35211,-0.538536
2459630.815706,0.35797,-0.547963
2459630.9877546,0.35895,-0.553766
2459630.8167245,0.36390,-0.544871
2459630.9889005,0.36562,-0.548804
2459630.8177546,0.36989,-0.568556
2459630.9901505,0.37289,-0.58143
2459630.8187616,0.37575,-0.552954
2459630.9912963,0.37956,-0.571856
2459630.8197454,0.38147,-0.56819
2459630.9924769,0.38642,-0.603969
2459630.8207407,0.38726,-0.568756
2459630.9937616,0.39390,-0.59131
2459630.9951505,0.40198,-0.594525
2459630.824456,0.40888,-0.584159
2459630.8255324,0.41514,-0.636895
2459630.9975463,0.41592,-0.623573
2459630.8265394,0.42100,-0.592629
2459630.998831,0.42339,-0.636959
2459630.8275579,0.42692,-0.602107
2459631.000081,0.43067,-0.640441
2459630.8286227,0.43312,-0.595878
2459631.0012616,0.43753,-0.64157
2459630.8296412,0.43904,-0.604299
2459630.8306944,0.44517,-0.596776
2459631.0026852,0.44582,-0.663253
2459630.8317593,0.45137,-0.599564
2459631.0039352,0.45309,-0.666394
2459630.8328009,0.45743,-0.629568
2459630.8338542,0.46356,-0.600376
2459630.834919,0.46975,-0.600327
2459630.8359259,0.47561,-0.61036
2459630.8369907,0.48180,-0.610483
2459630.8380787,0.48813,-0.609077
2459630.8391435,0.49433,-0.617277
2459630.8401968,0.50046,-0.607824
2459630.8413194,0.50699,-0.600203
2459630.8423495,0.51298,-0.647965
2459630.8451273,0.52914,-0.602627
2459630.846169,0.53520,-0.568233
2459630.8471875,0.54113,-0.670712
2459630.8482639,0.54739,-0.614875
2459630.849294,0.55338,-0.587673
2459630.8503704,0.55965,-0.610366
2459630.8514468,0.56591,-0.588473
2459630.8525,0.57204,-0.58876
2459630.8535995,0.57843,-0.584764
2459630.8546412,0.58449,-0.655183
2459630.8557523,0.59096,-0.651122
2459630.8568634,0.59742,-0.604622
2459630.8579398,0.60369,-0.619452
2459630.8590278,0.61002,-0.608352
2459630.8600694,0.61608,-0.586651
2459630.8611227,0.62220,-0.601185
2459630.8622106,0.62853,-0.582894
2459630.8633218,0.63500,-0.577509
2459630.8644444,0.64153,-0.587027
2459630.8654745,0.64752,-0.623514
2459630.8665856,0.65399,-0.558721
2459630.8676968,0.66045,-0.552414
2459630.8687616,0.66665,-0.567142
2459630.8698495,0.67298,-0.624184
2459630.8708912,0.67904,-0.621022
2459630.8720255,0.68564,-0.623621
2459630.8731829,0.69237,-0.626708
2459630.8743634,0.69924,-0.585212
2459630.875544,0.70611,-0.614776
2459630.8766551,0.71257,-0.606662
2459630.8778356,0.71944,-0.614284
2459630.8791088,0.72685,-0.613578
2459630.8802315,0.73338,-0.63007
2459630.8814815,0.74065,-0.631967
2459630.8827431,0.74799,-0.617574
2459630.8840046,0.75533,-0.607627
2459630.8852431,0.76254,-0.581184
2459630.8865741,0.77028,-0.616348
2459630.8877083,0.77688,-0.610505
2459630.8988542,0.84173,-0.611201
2459630.9001505,0.84927,-0.618847
2459630.9013194,0.85607,-0.624092
2459630.902581,0.86341,-0.605707
2459630.9038426,0.87075,-0.580537
2459630.9048843,0.87681,-0.595896
2459630.9060301,0.88348,-0.622446
2459630.9070718,0.88954,-0.643143
2459630.9082176,0.89620,-0.64256
2459630.9093287,0.90267,-0.616218
2459630.910463,0.90927,-0.651177
2459630.9116204,0.91600,-0.640584
2459630.9127662,0.92267,-0.627496
2459630.9138426,0.92893,-0.626312
2459630.9149537,0.93539,-0.658257
2459630.9160995,0.94206,-0.670134
2459630.7541782,1.00000,-0.556578
2459630.926412,1.00206,-0.548361
2459630.7552662,1.00633,-0.559693
2459630.9275579,1.00873,-0.582526
2459630.7564468,1.01320,-0.587911
2459630.9287037,1.01539,-0.548016
2459630.7575463,1.01960,-0.555558
2459630.9298495,1.02206,-0.553639
2459630.7586227,1.02586,-0.57918
2459630.9309954,1.02872,-0.539377
2459630.7597106,1.03219,-0.552465
2459630.9321528,1.03546,-0.543608
2459630.7608565,1.03885,-0.553143
2459630.9333218,1.04226,-0.558337
2459630.7619676,1.04532,-0.564963
2459630.9345718,1.04953,-0.523429
2459630.7630093,1.05138,-0.518657
2459630.9356134,1.05559,-0.558196
2459630.7641435,1.05798,-0.517617
2459630.9367593,1.06226,-0.517013
2459630.7652315,1.06431,-0.500608
2459630.9379051,1.06893,-0.518053
2459630.7663079,1.07057,-0.517997
2459630.9390509,1.07559,-0.519761
2459630.7673495,1.07663,-0.500351
2459630.9400926,1.08165,-0.528043
2459630.7684259,1.08289,-0.497598
2459630.9412384,1.08832,-0.496125
2459630.7696065,1.08976,-0.496492
2459630.9424884,1.09559,-0.51362
2459630.7707176,1.09623,-0.498938
2459630.7718287,1.10269,-0.525437
2459630.9447801,1.10892,-0.456075
2459630.7729745,1.10936,-0.488996
2459630.7740972,1.11589,-0.48753
2459630.9460301,1.11620,-0.529563
2459630.7753125,1.12296,-0.494007
2459630.9472222,1.12313,-0.46481
2459630.776412,1.12936,-0.499921
2459630.9485417,1.13081,-0.530872
2459630.7775347,1.13589,-0.473444
2459630.9496875,1.13748,-0.417578
2459630.7786458,1.14235,-0.494002
2459630.9508333,1.14414,-0.489935
2459630.7797801,1.14895,-0.481081
2459630.9519792,1.15081,-0.473664
2459630.7808218,1.15501,-0.480817
2459630.9532407,1.15815,-0.518188
2459630.7819792,1.16175,-0.468623
2459630.954375,1.16475,-0.435576
2459630.7831713,1.16868,-0.46988
2459630.9555208,1.17141,-0.473173
2459630.7843403,1.17548,-0.451455
2459630.9566782,1.17815,-0.415176
2459630.785544,1.18249,-0.479132
2459630.9579167,1.18535,-0.468042
2459630.7866667,1.18902,-0.462401
2459630.9590625,1.19202,-0.411533
2459630.9603125,1.19929,-0.447431
2459630.7891551,1.20350,-0.451634
2459630.9615741,1.20663,-0.482881
2459630.790162,1.20935,-0.450309
2459630.9626042,1.21263,-0.492762
2459630.7911574,1.21515,-0.462745
2459630.9638657,1.21996,-0.485458
2459630.7920949,1.22060,-0.450608
2459630.7930324,1.22605,-0.474671
2459630.7940856,1.23218,-0.473246
2459630.7950926,1.23804,-0.488173
2459630.7960648,1.24370,-0.473264
2459630.9682523,1.24549,-0.499607
2459630.7971065,1.24976,-0.476264
2459630.9695255,1.25289,-0.496632
2459630.7981019,1.25555,-0.4756
2459630.9706713,1.25956,-0.489357
2459630.7991088,1.26141,-0.481464
2459630.9718171,1.26623,-0.504279
2459630.8000926,1.26713,-0.480692
2459630.972963,1.27289,-0.488995
2459630.8011921,1.27353,-0.487967
2459630.8022106,1.27945,-0.487102
2459630.974213,1.28017,-0.475968
2459630.803287,1.28572,-0.484162
2459630.9752894,1.28643,-0.504255
2459630.8042477,1.29130,-0.51687
2459630.9765394,1.29370,-0.50401
2459630.8053935,1.29797,-0.506862
2459630.9777894,1.30097,-0.489615
2459630.8064005,1.30383,-0.504534
2459630.9790394,1.30825,-0.500668
2459630.807419,1.30976,-0.494595
2459630.9803241,1.31572,-0.516708
2459630.8085301,1.31622,-0.513472
2459630.8096412,1.32268,-0.509746
2459630.9815741,1.32299,-0.506642
2459630.8106481,1.32854,-0.518529
2459630.9828241,1.33026,-0.503118
2459630.8116898,1.33460,-0.513978
2459630.9841088,1.33774,-0.483261
2459630.8126968,1.34046,-0.537221
2459630.9853588,1.34501,-0.533718
2459630.8137037,1.34632,-0.533393
2459630.9865046,1.35168,-0.532483
2459630.8146991,1.35211,-0.538536
2459630.815706,1.35797,-0.547963
2459630.9877546,1.35895,-0.553766
2459630.8167245,1.36390,-0.544871
2459630.9889005,1.36562,-0.548804
2459630.8177546,1.36989,-0.568556
2459630.9901505,1.37289,-0.58143
2459630.8187616,1.37575,-0.552954
2459630.9912963,1.37956,-0.571856
2459630.8197454,1.38147,-0.56819
2459630.9924769,1.38642,-0.603969
2459630.8207407,1.38726,-0.568756
2459630.9937616,1.39390,-0.59131
2459630.9951505,1.40198,-0.594525
2459630.824456,1.40888,-0.584159
2459630.8255324,1.41514,-0.636895
2459630.9975463,1.41592,-0.623573
2459630.8265394,1.42100,-0.592629
2459630.998831,1.42339,-0.636959
2459630.8275579,1.42692,-0.602107
2459631.000081,1.43067,-0.640441
2459630.8286227,1.43312,-0.595878
2459631.0012616,1.43753,-0.64157
2459630.8296412,1.43904,-0.604299
2459630.8306944,1.44517,-0.596776
2459631.0026852,1.44582,-0.663253
2459630.8317593,1.45137,-0.599564
2459631.0039352,1.45309,-0.666394
2459630.8328009,1.45743,-0.629568
2459630.8338542,1.46356,-0.600376
2459630.834919,1.46975,-0.600327
2459630.8359259,1.47561,-0.61036
2459630.8369907,1.48180,-0.610483
2459630.8380787,1.48813,-0.609077
2459630.8391435,1.49433,-0.617277
2459630.8401968,1.50046,-0.607824
2459630.8413194,1.50699,-0.600203
2459630.8423495,1.51298,-0.647965
2459630.8451273,1.52914,-0.602627
2459630.846169,1.53520,-0.568233
2459630.8471875,1.54113,-0.670712
2459630.8482639,1.54739,-0.614875
2459630.849294,1.55338,-0.587673
2459630.8503704,1.55965,-0.610366
2459630.8514468,1.56591,-0.588473
2459630.8525,1.57204,-0.58876
2459630.8535995,1.57843,-0.584764
2459630.8546412,1.58449,-0.655183
2459630.8557523,1.59096,-0.651122
2459630.8568634,1.59742,-0.604622
2459630.8579398,1.60369,-0.619452
2459630.8590278,1.61002,-0.608352
2459630.8600694,1.61608,-0.586651
2459630.8611227,1.62220,-0.601185
2459630.8622106,1.62853,-0.582894
2459630.8633218,1.63500,-0.577509
2459630.8644444,1.64153,-0.587027
2459630.8654745,1.64752,-0.623514
2459630.8665856,1.65399,-0.558721
2459630.8676968,1.66045,-0.552414
2459630.8687616,1.66665,-0.567142
2459630.8698495,1.67298,-0.624184
2459630.8708912,1.67904,-0.621022
2459630.8720255,1.68564,-0.623621
2459630.8731829,1.69237,-0.626708
2459630.8743634,1.69924,-0.585212
2459630.875544,1.70611,-0.614776
2459630.8766551,1.71257,-0.606662
2459630.8778356,1.71944,-0.614284
2459630.8791088,1.72685,-0.613578
2459630.8802315,1.73338,-0.63007
2459630.8814815,1.74065,-0.631967
2459630.8827431,1.74799,-0.617574
2459630.8840046,1.75533,-0.607627
2459630.8852431,1.76254,-0.581184
2459630.8865741,1.77028,-0.616348
2459630.8877083,1.77688,-0.610505
2459630.8988542,1.84173,-0.611201
2459630.9001505,1.84927,-0.618847
2459630.9013194,1.85607,-0.624092
2459630.902581,1.86341,-0.605707
2459630.9038426,1.87075,-0.580537
2459630.9048843,1.87681,-0.595896
2459630.9060301,1.88348,-0.622446
2459630.9070718,1.88954,-0.643143
2459630.9082176,1.89620,-0.64256
2459630.9093287,1.90267,-0.616218
2459630.910463,1.90927,-0.651177
2459630.9116204,1.91600,-0.640584
2459630.9127662,1.92267,-0.627496
2459630.9138426,1.92893,-0.626312
2459630.9149537,1.93539,-0.658257
2459630.9160995,1.94206,-0.670134
