country_name,campaign_count,outcome
GB,487,successful
GB,669,failed
GB,138,canceled
GB,4,suspended
GB,6,live
US,6075,failed
US,4365,successful
US,1088,canceled
US,52,suspended
US,69,live
CA,355,failed
CA,87,canceled
CA,137,successful
CA,6,live
CA,3,suspended
AU,84,successful
AU,170,failed
AU,56,canceled
AU,2,live
AU,1,suspended
NO,8,successful
NO,8,canceled
NO,10,failed
IT,4,live
IT,94,failed
IT,15,successful
IT,7,canceled
IT,1,suspended
DE,90,failed
DE,36,successful
DE,17,canceled
DE,5,live
IE,21,failed
IE,10,successful
IE,5,canceled
MX,20,successful
MX,35,failed
MX,7,live
MX,8,canceled
ES,51,failed
ES,15,canceled
ES,13,successful
ES,2,suspended
ES,3,live
"N,0"",140,undefined
N",7,successful
"N,0"",6,failed
N",2,canceled
SE,1,suspended
SE,44,failed
SE,7,canceled
SE,15,successful
FR,56,failed
FR,19,canceled
FR,29,successful
FR,1,live
FR,1,suspended
NL,1,live
NL,56,failed
NL,28,successful
NL,18,canceled
NL,1,suspended
NZ,30,failed
NZ,11,canceled
NZ,14,successful
NZ,1,suspended
NZ,1,live
CH,10,successful
CH,23,failed
CH,2,canceled
AT,17,failed
AT,3,successful
AT,2,live
AT,5,canceled
DK,20,failed
DK,10,canceled
DK,16,successful
DK,2,live
BE,5,canceled
BE,6,failed
BE,4,successful
BE,1,suspended
HK,4,canceled
HK,11,failed
HK,8,successful
HK,1,live
LU,2,successful
LU,1,failed
SG,8,successful
SG,10,failed
SG,1,canceled