days,pledged,goal_surpassed
30,413.81,190.13
30,8795,2795
30,2525,25
30,1525,25
30,1494,494
16,3667.13,972.1300000000001
30,5847,847
30,12545,545
40,6419,1219
45,4001,1
30,8086,86
30,9071,7571
35,5276.01,3776.01
33,4268,1268
40,45026,5026
46,242014,202014
21,26206,11206
30,10604,8604
40,6000,0
26,5117,117
60,5475,475
44,2246,24
14,2880,380
24,8046,46
30,870,130
14,1592,92
24,4063,63
43,2345,345
30,2500,0
30,75064.49,45064.490000000005
30,2251,251
40,9170,170
37,31376,1376
30,55619.77,27887.289999999997
32,6883.35,3948.6500000000005
26,1620,120
35,2225,25
23,4229,1229
90,12080,80
28,3260,260
21,4864.68,392.28999999999996
30,7800,300
60,734.5,34.5
48,1000,0
45,2685,185
30,26936.4,6936.4000000000015
8,4587,4499
30,5001,1
30,5316,316
45,93856.97,90252.33
19,3048.04,53.88999999999987
32,2512,1562
30,38423.29,521.5299999999988
25,1418.04,141.80999999999995
24,4736,2736
35,10538.02,538.0200000000004
21,755,5
30,921.61,10.629999999999995
60,2556,1556
18,619.45,70.57000000000005
31,25815,815
27,586,146
30,25201,5201
15,2295,795
29,11722,1722
43,35987,10987
36,6300.27,1983.46
21,5226,226
41,10694.67,1694.67
25,285.71,88.38999999999999
45,1406.1,144.16999999999985
30,31776,6776
31,740,90
30,25648,648
28,1681,181
45,25751,5751
30,19106.52,3987.3199999999997
30,6428.02,1.2800000000006548
30,20142.18,2142.1800000000003
35,3582.45,582.4499999999998
60,2342,342
30,17176.12,1176.119999999999
30,2510,10
45,7184,184
30,813,313
30,1603,303
20,4080,580
35,10652.42,852.4200000000001
30,22064,12064
35,20731.33,5731.330000000002
31,424615,374615
30,4343,843
60,9000,500
35,61422.7,31422.699999999997
7,2500,0
30,1901.25,1040.49
60,14450,5850
30,14539.85,11358.18
35,3250.26,276.8000000000002
30,365,15
18,1056,256
30,2743.01,282.9100000000003
30,4052,552
15,5656,956
30,6190,1190
24,806,6
30,5260,260
82,1525,25
40,62367,32367
34,10121.73,121.72999999999956
30,4081,81
30,1505,1005
60,4542,542
42,883460.8,848460.8
40,112476.44,97476.44
30,3015,15
30,4228,4128
34,1438,438
42,5275,275
30,7010,2010
30,16837,1837
30,1228,228
90,1050,50
30,290,90
58,3030.06,30.059999999999945
36,161611.46,108651.53
17,7957.91,457.90999999999985
30,2625,125
59,2000,5
32,36021.98,1021.9800000000032
25,2383.25,250.9000000000001
60,5400,400
30,520,20
30,41656,26656
20,2562,1062
31,8255,555
17,2850,200
30,2506,506
33,14057,2057
36,1938.28,92.29999999999995
30,4208,2208
30,5387,387
30,9527,527
34,10178,178
29,2207,207
12,3405,905
30,5145,145
30,9228.66,228.65999999999985
32,8076,1576
60,1214,214
30,20764.53,1419.1800000000003
30,2875.83,200.63999999999987
30,10406,306
60,10795,795
30,5475,475
30,5155,155
17,925.59,165.44000000000005
30,1000,0
30,12234.75,5291.8
30,5275,275
32,19770,4770
33,1657,657
30,5150,150
38,9934.68,1803.7200000000003
24,930,280
31,3135.77,1910.22
22,15195,195
14,1455,755
43,9308.84,649.460000000001
40,20535.2,535.2000000000007
30,1826,26
30,9355,3355
30,2287,1687
30,788.88,246.42999999999995
15,25805.85,21305.85
72,6089,1089
45,8041,541
36,1327,827
30,11507,1507
30,12484.97,154.1299999999992
30,825.33,249.19000000000005
25,14851,12851
45,8354,354
14,2046.13,46.13000000000011
30,1135,135
30,25025,275
30,954,554
30,901,401
30,1281.57,282.28999999999996
28,12497,497
30,10375,375
20,28490.42,18490.42
30,12582.41,1721.4599999999991
30,520,20
31,1200,0
28,2819,819
20,1670,170
30,14472.18,2472.1800000000003
45,18979,3979
31,7940.5,440.5
15,305.01,5.009999999999991
30,646,496
43,30806.06,3306.0600000000013
29,2696,296
7,1533.65,7.630000000000109
31,3436,436
35,5436,2436
24,4590,1590
30,6758,1258
14,21011,1011
30,2778,778
33,1561,61
30,16602,6602
32,320,20
29,2705.69,1087.13
90,3520.92,20.920000000000073
46,11720,1720
30,2605,130
45,46437.42,25285.55
38,2436,436
35,2101,101
30,1189.19,313.71000000000004
30,6280,280
35,5302.42,295.40999999999985
30,1573.24,271.97
40,14980.01,7813.91
47,5599,399
23,882,82
58,376,76
59,8424.5,424.5
25,6031,31
30,23001,3001
29,8377.39,415.6099999999997
30,1300.98,300.98
33,12242,242
31,16926,4926
30,903,103
50,8390.06,169.35000000000036
2,12701,12601
30,593.34,0
25,1540,40
29,502,2
45,15424.25,424.25
10,780,280
55,34554.78,24160.489999999998
60,4409.77,409.77000000000044
30,12695,695
45,25269.61,269.6100000000006
60,1016,16
16,10903.17,903.1700000000001
34,27788.18,481.76000000000204
60,4240,540
57,132023.5,117023.5
30,6128.7,1.5299999999997453
25,931.53,0
30,141072.95,67056.99
22,2557.01,57.01000000000022
30,2697,97
30,2479.03,1592.6600000000003
35,40905.35,30905.35
32,32000,29000
30,11040,1040
30,4956.66,3.300000000000182
18,4019,19
41,116270,56270
16,16595,6595
56,11305,8805
30,3774,110.75
9,1170,170
30,1487.83,59.97000000000003
30,17000,7000
46,3327,327
30,203188,183188
60,5025.5,25.5
38,6003.4,1003.3999999999996
23,3375,375
31,3050,820
30,946,176
15,3230,730
26,598.52,123.50999999999999
27,5522,2022
30,3345,345
31,12307,307
30,1307,307
29,3076,76
30,12082.04,7782.380000000001
60,172301.53,122301.53
29,1715,715
57,2132.07,139.48000000000025
30,6172.61,1172.6099999999997
60,6127.17,0
60,22928.77,2928.7700000000004
36,7560,1060
23,4729.49,1184.1499999999996
30,2101,601
30,4102,502
30,10609,609
34,9638,138
30,19880,1880
45,575,75
30,70442,2442
35,3900,900
30,12675.21,2675.209999999999
31,25206,23556
37,2427.88,307.8800000000001
30,18252.12,14026.109999999999
50,11567,1567
30,23141.5,9141.5
30,4820,820
32,3143,2643
31,44873,29873
31,27238,2238
60,1849.69,349.69000000000005
38,846,346
15,3805,305
29,52837,12837
48,8105,4105
20,3011.69,2211.69
37,21390,1390
33,4179,179
30,10724.54,724.5400000000009
30,301,101
22,10802,3802
30,36082,1082
30,286,86
32,7854.66,6854.66
31,1725.68,234.10000000000014
30,4116,366
30,26893,19393
45,770.89,270.89
45,10174.59,174.59000000000015
60,513770.73,426538.29
30,539.43,29.88999999999993
34,6634,2034
30,2805,805
10,5476,5226
30,3050,50
30,26042.5,22376.5
18,2223,223
35,6050,50
45,18492,14742
30,3261.17,186.03999999999996
25,1310,310
22,1516,516
45,8326,326
30,2164,164
30,8351,2351
19,9942.71,209.02999999999884
32,2630.77,80.76999999999998
33,3330,330
36,4463.03,463.02999999999975
89,1245,245
28,5309,309
36,12160,2160
30,137385,112385
21,26525.31,25497.7
30,34660,9660
30,342.93,119.28
40,1250.71,52.42000000000007
30,18505.58,3953.550000000001
45,6294,1294
30,20,10
30,1439.65,55.38000000000011
30,27357.2,12357.2
30,845,145
25,1500,0
30,1625,25
15,8272.5,272.5
38,400,25
60,82082.01,77082.01
30,5738,738
22,2541.31,7.039999999999964
30,7669,169
20,4174.73,4164.04
28,585,385
25,6142,142
36,31247,1247
31,9425,925
29,7550,50
31,109341,94341
61,1240,40
44,4653,2653
31,2695,195
30,5727.01,727.0100000000002
17,5760.02,60.02000000000044
30,81797,6797
30,8285,1285
15,945,145
38,20622.01,16622.01
32,578,78
29,2588,88
30,3053,53
35,5130,130
30,23636.18,336.1800000000003
21,824,804
30,15618.77,8000.88
35,10463,463
30,8435,435
25,7573,4573
32,1000,0
30,470310.46,370310.46
34,9177,5177
41,1050.37,300.3699999999999
45,26385,1385
30,10010,10
30,27200,2200
33,23051.41,13051.41
22,2530,330
24,2603.23,3.230000000000018
31,20150,150
25,1164.1,347.7599999999999
38,14056.99,2056.99
32,35784,5784
33,5890,890
24,104983.42,74983.42
43,187849,37849
30,6784.52,4784.52
34,7692.01,2970.5700000000006
30,1640,140
35,128785,28785
37,9335.19,6335.1900000000005
30,8008.14,1008.1400000000003
14,2005,805
20,2863,1063
29,37104,17104
25,10801.18,3413.2300000000005
45,14709,709
30,1035,35
22,802.59,2.590000000000032
30,9305.67,25.670000000000073
30,7563.76,2320.45
33,6535,535
29,7500,0
42,8853.99,1304.54
5,4673.19,46.26999999999953
36,10729.36,729.3600000000006
30,5411.91,2111.91
9,813.68,38.75
35,8760,760
24,2015,515
33,3930,130
30,2136,336
35,2179.89,550.3
30,1501,1
30,7930,1430
30,1601.99,94.94000000000005
30,9249,249
90,10721.22,721.2199999999993
10,1682.06,1.1599999999998545
15,6592,592
30,22007.92,13031.96
30,2822,322
30,10215,215
30,785,285
30,35.25,10.25
35,44930.15,18210.190000000002
30,380,80
60,4735.75,55.75
26,21505.82,4272.639999999999
30,3840,340
30,11354,10017
14,549,49
23,3235,1135
9,1200,0
32,3606,106
40,5035,35
31,49857.5,5857.5
30,173126.48,95830.80000000002
30,15431,3431
31,5550,0
36,13017,9517
35,1113.08,113.07999999999993
30,1875,1475
52,1540,100
30,34087.61,3195.760000000002
30,405,6
43,13846.23,6017.009999999999
29,14466.37,6146.630000000001
14,2852.65,2062.63
31,4347.52,1138.5800000000004
30,9755,1755
30,11747,1747
30,500,0
15,10390,390
52,2531,31
30,63423,33423
29,14197.29,6697.290000000001
30,11993.08,5043.7
30,2670,670
30,10885.12,1853.33
30,2251,251
30,75.41,12.569999999999993
26,5625,775
30,3480,2480
30,1000,0
30,8000,2000
30,6596,3596
30,4576.22,283.3299999999999
30,2278255.33,1978255.33
10,360,10
35,39394.09,8346.819999999996
20,10195,195
30,3450,450
30,1005,5
30,3152,152
30,4249.44,392.1599999999994
42,3060,60
55,15732,10732
30,2273,1073
30,6330,330
30,2215,565
41,12057,57
31,4720,720
7,1339.78,240.77999999999997
30,100.4,89.24000000000001
25,8125.99,325.9899999999998
17,10585,3085
30,1255,5
30,2043,1943
22,1155.13,777.1400000000001
30,7741,241
31,26,1
35,14385,6885
25,5133.33,1377.46
12,1795,795
33,3170,2170
25,4660,660
30,31435.99,1435.9900000000016
30,14333.97,6984.36
33,3863.72,41.08999999999969
45,65980.72,40980.72
31,5078.75,3078.75
17,1228.72,115.38000000000011
27,1692,692
30,7230,730
30,1490,990
60,4997.64,275.46000000000004
30,21328.64,3957.75
24,1590,90
30,23297.01,8297.009999999998
27,25800.5,800.5
30,45198.5,27198.5
8,18410,3410
10,3137,137
41,12605,605
14,2253,253
33,10444,444
23,15058.5,10683.5
25,3315,315
31,56998,54198
10,398,148
34,12030.45,2030.4500000000007
30,5875.84,407.77000000000044
24,3086,386
61,5070,2070
30,31520.25,1520.25
30,1625.09,755.3999999999999
23,3848,848
10,20,15
30,8360,360
30,2071,71
45,1565.25,212.66000000000008
60,1415,165
31,9941.15,6441.15
30,7953.12,140.6199999999999
14,534.17,34.16999999999996
30,2600,100
60,4545.51,1045.5100000000002
45,58493,3493
33,11887,3387
30,6376.17,1715.4700000000003
30,4048,548
30,3370,370
30,1630.84,0
30,2396,281
25,1026,26
31,4000,0
24,565,65
30,120821,85821
37,565,65
20,6575,75
26,3472,1472
30,8937.95,345.27000000000044
30,1375,375
47,6955.66,1386.6800000000003
28,84356,83356
20,9273,3273
30,10405,405
32,507,7
30,28456.8,556.880000000001
30,14028.56,2028.5599999999995
28,24234,19234
30,28156.25,14051.88
30,3455,455
25,810,60
24,1656.37,13.959999999999809
30,5060.42,60.42000000000007
29,10267,267
27,27175.64,2175.6399999999994
30,2700.01,1200.0100000000002
42,5070,70
31,5480.88,480.8800000000001
27,10799,4799
60,25070,70
30,5838,2838
30,1647,47
31,7165.88,81.40000000000055
41,2106,106
35,51766,1766
16,3096,596
30,7867,2367
31,46219.01,33719.01
31,8971,3971
40,42392,26392
28,9173,7923
15,5626,626
30,1690,190
60,5410,410
42,25016.76,16.7599999999984
31,90535,40535
28,50839.86,839.8600000000006
20,20793.06,16323.84
30,22584.82,17584.82
14,12460.8,11684.519999999999
30,39693.28,33693.28
30,22614.6,2614.5999999999985
30,410,85
30,10355,355
31,1502.82,968.77
28,34045,712
25,372.5,97.5
30,5912.11,562.1099999999997
45,42074,12074
33,700,100
60,8046,46
30,3002,1602
45,17456.05,1069.7000000000007
30,1440,140
45,2075,75
29,11633.22,540.2299999999996
30,11892.7,392.7000000000007
11,536,236
30,520,65
31,51182,39182
31,6595,595
50,30940,940
36,1825,25
30,3250,250
45,32430.31,2430.3100000000013
36,10170,170
30,2570,70
30,6249,1249
30,11252,2252
54,8056,556
33,2090,90
34,10850,50
30,4565,565
25,9158,5658
30,71200,21200
30,35,10
30,2013,13
33,2000,0
16,598.48,93.72000000000003
33,19429,2429
45,26333,1333
11,7857,2857
30,2525,25
35,8725,5725
20,90.06,74.53
45,17915,16915
60,2530,30
38,35123,123
29,3950,1450
30,53433,43433
30,17650,1650
32,15967.64,848.1999999999989
28,552,417
46,5428.99,428.9899999999998
41,1053.96,54.960000000000036
30,3505,5
30,15747.77,747.7700000000004
39,1806,6
30,57,56
31,26109,1109
30,2546.98,914.3
26,736.56,199.70999999999992
30,4635.08,635.0799999999999
60,77381.28,30148.78
10,1089,990
25,2000,0
31,2055,55
30,5160,1660
18,24944,7444
10,4021.7,4.019999999999982
89,20000,8000
60,3950.63,450.6300000000001
30,9494.5,5097.74
21,4211,1211
30,6099,1099
30,17512,3512
30,10828.25,1132.9599999999991
45,1274.58,0
30,1100,100
60,12850,2851
39,1322,322
23,2293.47,1846.1099999999997
25,11972.04,1972.0400000000009
32,16665.45,12665.45
30,20918,918
30,3091,141
46,10371,871
30,3813,313
9,231.26,127.32
30,3192,1592
30,10007,8807
34,15878.78,4878.780000000001
38,6861.78,314.27999999999975
30,12163,163
32,2240,40
30,719,119
20,661,261
60,2166,166
30,110,60
60,11798,1798
30,1035,585
60,352908,342908
28,3711,211
27,1200,1197
18,4205,705
30,4019.07,318.27
30,13385,1385
37,95485.56,10485.559999999998
30,10610.4,0
15,640,140
20,18579,11079
38,13875,6375
32,25060,60
35,12460,2460
30,674,74
36,3758,258
30,2029.92,1259.93
30,6050,1050
30,23326,3326
36,346772.24,246772.24
30,14585.5,11585.5
36,3500,0
40,5725,25
37,7706,706
17,11195,4195
30,4648.42,126.07999999999993
42,1242.46,481.1500000000001
17,5180,2180
30,1035.16,0
36,19276,1276
30,13756,756
45,1028,28
30,40204.17,1389.0299999999988
30,34087.77,20087.769999999997
40,193.62,108.38000000000001
30,27171,2171
30,42995,995
30,2520,20
35,53840,3840
17,616.88,5.42999999999995
24,13157,3157
32,3528,528
30,2785,35
30,3396.77,596.77
30,1604.95,22.420000000000073
30,10255,255
39,48859,33859
30,19557,16057
25,3228,728
45,14439,439
26,1800,300
28,1300,550
41,8540,540
7,780,530
30,4370,870
30,5917,917
30,10131.01,131.01000000000022
39,503,3
86,3653,2153
30,338,238
45,2004,4
1,500,0
21,24688.5,12688.5
30,15050.01,11050.01
31,5348,348
8,314.22,0
40,4853.21,322.78999999999996
14,13701.35,1701.3500000000004
18,3582,3082
13,370,70
30,2501,1
14,338,8
7,77,72
30,3453,453
38,26998.28,5111.329999999998
28,64325,19325
32,10535,535
30,1505,5
60,4973,973
60,2525,25
30,2087,87
40,2219.34,655.3200000000002
30,5467,1467
35,9011,111
29,16038,38
30,3369,1069
33,7594.33,94.32999999999993
25,1359.8,445.14
30,4260,1260
60,6156,156
30,2971,971
30,542,102
29,1005.58,410.56000000000006
30,2661,161
25,1080,80
61,8300,300
28,60470,30470
84,545,45
41,8036,536
30,4456.66,456.65999999999985
30,34440.25,4440.25
14,693.5,193.5
30,5874.77,141.89000000000033
40,5213.26,2302.69
31,19507,2507
30,2175,575
30,1002.72,502.72
25,2510,10
21,14961,2961
60,2610,110
30,401,201
30,4637.39,16.18000000000029
20,1301,51
30,1116,316
32,30202.01,5202.009999999998
30,52275.66,37275.66
11,510,10
31,5307,1807
31,4169,169
30,12797,3297
60,3025,25
60,4638.38,638.3800000000001
49,8863.33,838.1599999999999
21,2758.72,133.12999999999965
21,10170,170
30,1895.01,395.01
31,19815,1815
31,14354.81,3724.7699999999986
7,53.36,7.619999999999997
31,110569.56,10569.559999999998
30,6281,281
34,7138,3638
30,161169,121169
21,7949.46,2806.3999999999996
31,8808.63,6228.889999999999
50,5614,614
30,11827,9327
47,2774,1074
30,26131,6131
30,734,234
30,5540.07,720.1700000000001
45,1494.51,709.99
30,23697.32,2994.1899999999987
30,14236.62,1185.4800000000014
30,15371,3371
30,40131.37,35131.37
25,5300,300
30,2000.18,0.18000000000006366
34,17025,825
16,1375,375
30,5233.1,589.71
35,1153.83,358.0799999999999
75,4113,513
20,5128,2128
28,2019.8,78.93000000000006
30,20576.5,576.5
60,3076,76
30,1828,78
89,1312.48,312.48
15,1500,0
30,13537,10537
30,6086,2565
20,507,7
76,15110.83,5110.83
35,7000,0
30,174525.11,89333.16999999998
45,15212,212
30,10442,442
30,760.09,9.009999999999991
35,107235.02,47235.020000000004
40,1690,1140
35,836,86
31,3221,221
30,320,70
22,6825.53,3744.72
30,43389,33389
5,2098,598
30,2990,490
45,210237.42,195237.42
30,12582,82
30,46253,35253
30,5207.79,207.78999999999996
30,1001,1
35,952616.12,892057.77
34,3939,139
30,5005,705
32,16163.99,10257.72
30,32245,245
30,44748,4748
30,454.34,142.76
15,15516.71,516.7099999999991
22,1335,835
45,28941,8941
66,3000.74,500.7399999999998
30,2176,1176
30,2513,13
42,15838,4838
60,1941.75,0.09999999999990905
31,1588.18,417.94000000000005
30,5870,1870
30,5000,1000
35,2634,134
30,11313,1313
51,7855.43,355.4300000000003
37,7715.74,215.73999999999978
30,25555,555
30,29308.33,28.450000000000728
30,5115,115
16,24351,19351
30,3746,746
30,1700,700
30,559,59
30,24268,1768
30,1575,1075
21,3826.96,1271.1999999999998
23,1540,250
30,824,324
23,8685,685
30,12155,4655
47,6626,626
26,1686,186
30,1056.66,256.6600000000001
30,7365,365
23,6475,1475
7,204.5,54.5
21,5838.58,4594.21
30,10226,226
30,2076.1,476.0999999999999
66,8111.62,111.61999999999989
60,25171,171
45,50772.3,1737.4700000000012
7,98409.52,88409.52
30,585,85
40,2454,1254
30,5845,845
30,600.33,150.33000000000004
35,11085.24,2585.24
31,2054.32,54.320000000000164
30,14082,3082
30,10617,617
45,5855,855
11,1503.22,553.22
40,650,110
30,28083,3083
30,9131,1631
90,4590,90
60,180000,155000
30,9784.38,6620.469999999999
33,10773,7273
30,19760.67,9760.669999999998
18,1332,832
7,574.16,201.32999999999998
34,825,325
28,4115,515
36,23234.95,5234.950000000001
40,5958.5,349.97999999999956
30,32760.27,2760.2700000000004
30,1614.21,397.47
31,3580,80
30,2822.94,349.57000000000016
5,74,64
33,4135,1785
40,832.6,47.129999999999995
30,1001,1
30,3334,334
28,486.33,183.32
30,1000,750
39,54233,22233
36,20565,15565
30,1925.21,425.21000000000004
30,16240,1240
20,592.6,51.89999999999998
30,12803.04,7809.150000000001
22,1315,15
35,12082,82
16,10892,892
